	IND1	IND5	IND7	IND8	IND9	IND10	IND11	IND12	IND14	IND15	IND16	IND17	IND18	IND19	IND21	IND22	IND23	IND24	IND25	IND26	IND27	IND28	IND29	IND30	IND31	IND32	IND33	IND34	IND36	IND37	IND38	IND41	IND42	IND43	IND44	IND47	IND48	IND49	IND50	IND52	IND53	IND54	IND55	IND57	IND59	IND60	IND61	IND62	IND63	IND64	IND65	IND66	IND67	IND68	IND69	IND70	IND71	IND72	IND73	IND74	IND75	IND76	IND77	IND79	IND80	IND81	IND82	IND84	IND85	IND87	IND88	IND89	IND92	IND93	IND94	IND95	IND96	IND97	IND98	IND101	IND108	IND102
1e.a.gd	1240.55	1326.1	1170.85	1228.45	1314.05	1131.05	1282.65	1354.2	1167.4	1177.55	1282.6	1240.55	1209.35	1293.4	1326.15	1256.05	1250.9	1179.65	1335.05	1280.85	1354.15	1211.2	1209.3	1192.1	1212.6	1167.4	1270.1	1154.25	1221.8	1270.1	1335.05	1114.8	1154.25	1238.6	1065.45	1228.4	1250.9	1257.95	1179.55	1322.95	1142.1	1221.8	1253.15	1253.1	1209.3	1240.6	1098.8	1154.3	1347.15	1310.45	1192.05	1212.65	1253.05	1308.45	1228.4	1192.15	1298.3	1310.5	1209.3	1168.32	1228.5	1259.75	1310.45	1240.65	1310.45	1154.3	1326.1	1086.35	1253.05	1212.55	1253.1	1258	1298.3	1212.55	1258	1166.75	1282.65	1326.15	1167.5	1179.65	1366.35	1127
2e.a.gd	735.75	921.1	597.7	762.5	946.7	582.6	695.75	804.6	838.1	853.55	838.45	680.6	743.75	853.55	676.55	977.95	791.25	597.7	777.45	777.95	977.95	663.9	695	597.65	915.05	597.7	743.8	804.05	661.1	704.4	735.75	644.2	644.2	624	735.7	661.4	661.4	735.75	639.1	720.65	624	645.2	676.45	680.25	597.7	645.2	597.7	676.45	695.7	762.9	639.1	819.65	607.8	762.9	624	838.1	735.75	762.5	727.95	704.45	661	819.7	735.75	676.55	930.15	645.15	853.5	582.6	680.2	639.1	856.45	735.75	762.35	664.45	720.2	582.6	743.8	723.3	639.1	805.35	978	623.65
3e.a.gd	1523.9	1473.6	1180.9	1565.6	1312.1	1282.4	1405.6	1485.7	1602.2	1377.1	1377.1	1377.1	1565.6	1456.7	1377.1	1565.6	1389.2	1149.4	1473.6	1638.7	1377.2	1405.6	1418.9	1214.7	1523.9	1214.7	1456.7	1405.6	1312.1	1347.8	1473.6	1282.4	1312.1	1456.7	1282.4	1418.9	1312.1	1565.6	1418.9	1456.7	1405.6	1228.6	1473.6	1473.6	1347.8	1456.7	1180.9	1312.1	1377.1	1418.9	1418.8	1359.9	1377.1	1523.9	1602.2	1347.8	1523.9	1473.6	1456.6	1347.8	1473.6	1473.7	1523.9	1473.6	NA	1312.2	1565.6	1137.3	1312.1	1377.1	1228.6	1473.6	1523.9	1405.6	1377.1	1418.9	1347.8	1523.9	1377.1	1262.7	1473.6	1347.8
4e.a.gd	783.9	1225.85	729.4	744.7	925.35	662.85	729.4	865	967.8	925.35	729.4	662.9	710.75	925.35	729.4	1167.8	925.35	783.9	865	865	1007.3	729.4	925.3	662.9	1339	624.8	825.1	925.35	783.85	729.4	865	783.9	729.4	729.4	783.9	763	783.9	865	865	783.9	729.4	744.7	729.4	783.9	710.75	825.05	783.9	783.9	729.4	864.95	865	1389.1	662.9	729.4	624.8	906.05	967.8	744.7	825.1	1007.3	783.9	925.35	744.65	729.4	1103	648.1	1103	710.75	729.4	641.15	1007.3	783.9	729.4	783.87	825.05	729.4	925.3	864.95	783.9	925.3	NA	648.1
1NFH	12.0	12.0	10.5	11.2	12.0	10.4	12.4	12.0	10.5	10.8	10.8	11.2	11.3	11.8	12.0	10.8	10.8	10.5	11.7	11.8	10.8	10.8	11.0	11.0	11.8	10.8	11.6	10.5	10.5	12.3	12.2	10.2	10.8	11.3	9.5	11.8	11.8	11.3	10.5	12.5	10.8	11.2	14.0	12.0	11.2	10.6	10.2	10.8	12.3	11.5	11.2	10.5	11.6	11.8	11.5	12.0	11.0	11.4	11.0	10.8	10.8	10.4	12.6	12.4	11.6	10.8	10.8	10.8	11.3	11.5	11.5	10.8	11.6	11.6	11.8	11.4	11.8	12.0	11.8	10.5	11.0	11.4
2NFH	8	9.4	8.4	8.2	10.2	7.3	8.6	8.6	8.7	8.8	8.4	7.5	7.6	9.2	7.2	10.2	8.6	7.6	8.3	8.6	10	7.4	7.4	7	10	6.6	8.2	8.6	7.2	8.2	8.4	7.4	6.8	7.6	8.2	7.8	7.2	8.2	7.6	7.6	7.4	7.6	7.3	8.4	7.4	7.2	7	7.2	7.4	8.2	7.8	8.2	7	8	8	10	7.8	9	7.4	7.5	7.6	8	8.3	8.6	9.2	7	8.8	7	8.2	7.4	10.2	8	8.6	8.4	8.4	7.4	8	8	7.8	8.8	10.2	7.4
3NFH	13.5	13.0	12.2	12.8	12.4	12.5	12.7	12.7	13.3	13.0	12.3	11.8	13.8	12.3	13.0	12.8	11.3	11.0	13.0	13.5	13.0	12.3	12.8	12.0	12.5	12.2	13.7	13.0	12.5	14.3	14.8	11.6	12.8	12.3	11.2	12.7	12.8	14.3	13.3	13.8	12.5	12.3	13.3	14.0	12.2	12.7	11.2	12.0	13.0	12.5	13.0	12.2	12.6	14.2	13.0	12.4	13.3	13.8	13.0	12.8	12.5	12.5	13.6	13.3	NA	12.0	13.0	11.4	12.6	12.6	11.6	12.3	15.0	13.0	12.3	13.7	12.0	13.5	12.8	12.6	12.0	12.8
4NFH	8.8	12.0	9.6	8.5	11.0	7.2	8.3	9.4	10.3	10.6	9.7	8.0	8.2	10.5	8.2	10.8	10.2	8.4	9.5	9.2	10.8	7.5	9.3	7.2	11.0	7.3	9.3	10.3	8.0	9.2	9.4	8.2	7.8	8.6	9.6	8.5	8.3	9.5	9.2	9.0	8.7	8.0	8.5	9.3	8.5	9.2	7.8	8.5	8.6	9.8	9.0	11.0	8.0	8.6	7.8	10.4	9.3	9.0	8.2	10.3	8.8	9.7	9.2	8.5	11.0	8.0	11.3	7.4	8.3	8.0	11.5	8.3	9.0	8.2	8.2	8.3	9.6	9.4	8.8	10.0	NA	7.8
